epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,11443.7,0.79065,1.22695,1.02614,0.61515,0.58086,0.55068,0.45195,0.80478,1.58056,1.02548,1.43608e-05,1.43608e-05,1.43608e-05
40,11706.7,0.80832,1.19135,1.00401,0.83519,0.46347,0.54991,0.45054,0.79994,1.57946,1.02507,1.32124e-05,1.32124e-05,1.32124e-05
41,11973.1,0.77351,1.33175,0.99539,0.71207,0.51647,0.55198,0.44825,0.78046,1.59074,1.01183,1.2064e-05,1.2064e-05,1.2064e-05
42,12236,0.78654,1.34237,1.0416,0.73916,0.52324,0.54208,0.44474,0.77337,1.59253,1.00985,1.09156e-05,1.09156e-05,1.09156e-05
43,12492,0.78164,1.37373,1.00027,0.72964,0.51806,0.54298,0.44659,0.77191,1.59504,1.00969,9.7672e-06,9.7672e-06,9.7672e-06
44,12759,0.75162,1.28167,1.00571,0.75558,0.51189,0.53867,0.44,0.76792,1.59222,1.00894,8.6188e-06,8.6188e-06,8.6188e-06
45,13035,0.75623,1.24171,0.99167,0.75612,0.4978,0.5388,0.44039,0.76757,1.58766,1.00874,7.4704e-06,7.4704e-06,7.4704e-06
46,13307.9,0.73854,1.21733,0.98739,0.76312,0.49634,0.54262,0.44535,0.768,1.59329,1.00834,6.322e-06,6.322e-06,6.322e-06
47,13569.9,0.75502,1.1824,0.9856,0.76303,0.4964,0.5407,0.44469,0.76856,1.58562,1.00866,5.1736e-06,5.1736e-06,5.1736e-06
48,13834.4,0.72061,1.18494,0.97007,0.76525,0.4999,0.53909,0.44492,0.768,1.58368,1.00874,4.0252e-06,4.0252e-06,4.0252e-06
49,14098.7,0.73416,1.15967,0.97866,0.76338,0.50179,0.54309,0.44573,0.76658,1.57961,1.00725,2.8768e-06,2.8768e-06,2.8768e-06
50,14362.5,0.79384,1.2933,1.0248,0.75915,0.50307,0.54242,0.44656,0.76603,1.58195,1.00737,1.7284e-06,1.7284e-06,1.7284e-06
